collection||Hisn al-Muslim
hadith|258|<text>--\n\nAllah's Messenger (ﷺ) said: "Is anyone of you incapable of earning one thousand Hasanah (rewards) in a day?" Someone from his gathering asked, "How can anyone of us earn a thousand Hasanah?" He said, "Glorify Allah a hundred times and a thousand Hasanah will be written for you, or a thousand sins will be wiped away."\n\nReference:\n\nMuslim 4/2073.</text>
hadith|259|<text>Whoever says: Subḥānallāhi ‘l-'Aẓīmi wa biḥamdih will have a date palm planted for him in Paradise.\n\nWhoever says: Glorified is Allah the Most Great and praised is He. will have a date palm planted for him in Paradise.\n\nReference:\n\nAt-Tirmidhi 5/511, and Al-Hakim who graded it authentic and Ath-Thahabi agreed 1/501. See also Al-Albani, Sahihul-Jami' As-Saghir 5/531 and Sahih At-Tirmidhi3/160.</text>
hadith|260|<text>Allah's Messenger (ﷺ) said: "O Abdullah bin Qais, should I not point you to one of the treasures of Paradise?" I said, "Yes, O Messenger of Allah." So he told me to say: Lā ḥawla wa lā quwwata 'illā billāh.\n\nAllah's Messenger (ﷺ) said: "O Abdullah bin Qais, should I not point you to one of the treasures of Paradise?" I said, "Yes, O Messenger of Allah." So he told me to say: There is no power and no might except by Allah.\n\nReference:\n\nAl-Bukhari, cf. Al-Asqalani, Fathul-Bari 11/213, Muslim 4/2076.</text>
hadith|261|<text>Allah's Messenger (ﷺ) said: The most beloved words to Allah are four: Subḥānallāh Walḥamdu lillāh. Wa lā ilāha illallāh Wallāhu Akbar.\n\nAllah's Messenger (ﷺ) said: The most beloved words to Allah are four: Glorified is Allah, and The praise is for Allah, and There is none worthy of worship but Allah, and Allah is the Most Great.\n\nReference:\n\nMuslim 3/1685.</text>
hadith|262|<text>A desert Arab came to Allah's Messenger (ﷺ) and said, "Teach me a word that I can say. " The Prophet (ﷺ) told him to say: Lā ilāha illallāh waḥdahu lā sharīka lah, Allāhu Akbaru kabīra, walḥamdu lillāhi kathīra, Subḥānallāhi Rabbil-`ālamīn, Lā ḥawla wa lā quwwata illā billāhi ‘l-`Azīzil-Hakīm. He said, "That is for my Lord, but what about me?" The Prophet (ﷺ) told him to say: Allāhummaghfir lī, warḥamnī, waḥdinī warzuqnī.\n\nA desert Arab came to Allah's Messenger (ﷺ) and said, "Teach me a word that I can say. " The Prophet (ﷺ) told him to say: There is none worthy of worship but Allah, Who has no partner, Allah is the Great, the Most Great, and praise is to Allah in abundance, glory is to Allah, Lord of the worlds. There is no power and no might but by Allah the Mighty, the Wise. He said, "That is for my Lord, but what about me?" The Prophet (ﷺ) told him to say: O Allah forgive me, and have mercy on me and guide me, and provide for me.\n\nReference:\n\nMuslim 4/2072, Abu Dawud reports the same Hadith with the addition: and when the Arab left, the Prophet (ﷺ) said: "He has filled his hands with goodness." 1/220.</text>
hadith|263|<text>Whenever anyone accepted Islam, the Prophet (ﷺ) used to teach him how to pray then he would instruct him to invoke Allah with the following words: Allāhummaghfir lī, warḥamnī, waḥdinī, wa `āfinī warzuqnī.\n\nWhenever anyone accepted Islam, the Prophet (ﷺ) used to teach him how to pray then he would instruct him to invoke Allah with the following words: O Allah forgive me, and have mercy on me and guide me and give me good health and provide for me.\n\nReference:\n\nMuslim 4/2073, and in one of Muslim's reports there is the addition: 'For these words combine [the goodness of] this world and the next.'</text>
hadith|264|<text>The most excellent invocation is: Alḥamdulillāh and the most excellent words of remembrance are: Lā ilāha illallāh.\n\nThe most excellent invocation is: Praise is for Allah. and the most excellent words of remembrance are: There is none worthy of worship but Allah.\n\nReference:\n\nAt-Tirmidhi 5/462, Ibn Majah 2/1249, and Al-Hakim who graded it authentic and Ath-Tbahabi agreed 1/503. See Al-Albani, Sahihul-Jami' As-Saghir 1/362.</text>
hadith|265|<text>The good deeds which endure are: Subḥānallāh. Walḥamdu lillāh. Wa lā ilāha illallāh Wallāhu Akbar Wa lā ḥawla wa lā quwwata illā billāh.\n\nThe good deeds which endure are: Glorified is Allah, and The praise is for Allah, and There is none worthy of worship but Allah, and Allah is the Most Great, and There is no power and no might except by Allah.\n\nReference:\n\nAhmad (no. 513) (Ahmad Shakir, ed.) and its chain of narration is authentic. See Majma'uz-Zawa'id 1/297. Ibn Hajar mentions it in Bulughul-Maram saying that Ibn Hibban and Al-Hakim considered it authentic.</text>
chapter||How the Prophet (ﷺ) ﷺ made tasbeeh
hadith|266|<text>Abdullah bin 'Amr (RA) said: "I saw the Prophet (ﷺ) counting the glorification of his Lord on his right hand."\n\nReference:\n\nAbu Dawud with a different wording 2/81, and At-Tirmidhi 5/521. See also Al-Albani, Sahihul-Jami'As-Saghir 4/271 (no. 4865).</text>
chapter||Comprehensive types of good and manners
hadith|267|<text>When night falls, restrain your children (from going out) because at such time the devils spread about. After a period of time has passed, let them be. Shut your doors and mention Allah’s name, for verily the devil does not open a shut door, tie up your water-skins and mention Allah’s name, cover your vessels with anything and mention Allah’s name and put out your lamps.\n\nReference:\n\nAl-Bukhari with Al-Fath 10/88 and Muslim 3/1595.</text>
