collection||مصنف ابن أبي شيبة
hadith|6148|حدثنا أبو بكر قال حدثنا أبو معاوية وعبدة بن سليمان عن هشام عن أبيه انه كان يؤم نساءه في المكتوبة ليس معهن رجل
hadith|6149|حدثنا وكيع قال حدثنا هشام عن أبيه قال جعل عمر بن الخطاب للناس قارئين في رمضان فكان أبي يصلي بالناس وبن أبي حثمة يصلي بالنساء
hadith|6150|حدثنا وكيع عن سفيان عن غالب أبي الهذيل عن إبراهيم قال كنت أصلي في الحي في زمن الحجاج وما خلفي إلا أمرأة
hadith|6151|حدثنا وكيع عن سفيان عن جابر قال سألت الشعبي وعطاء عن رجل يؤم النساء ليس معهن رجل فقالا لا بأس به
hadith|6152|حدثنا مروان بن معاوية عن عمر بن عبد الله الثقفي قال حدثنا عرفجة قال كان علي يأمر الناس بقيام رمضان وكان يجعل للرجال إماما وللنساء إماما قال عرفجة فأمرني علي فكنت إمام النساء
hadith|6153|حدثنا عباد بن العوام عن هشام عن الحسن قال سئل عن الرجل يؤم النسوة في رمضان قال كان لا يرى به بأسا إذا كان الرجل لا بأس به قال وإن كان الرجل ليخرج فتفوته الصلاة في جماعة فيرجع إلى أهله فيجمعهم فيصلي بهم
hadith|6154|حدثنا زيد بن حباب ( ( ( الحباب ) ) ) عن مطهر بن جويرية قال رأيت أبا مجلز وله مسجد في داره فربما جمع بأهله وغلمانه
chapter||487 ) في الرجل والمرأة يصلي وبينه وبين الإمام حائط
hadith|6155|حدثنا أبو بكر قال حدثنا حفص بن غياث عن ليث عن نعيم قال قال عمر إذا كان بينه وبين الإمام طريق أو نهر أو حائط فليس معه
hadith|6156|حدثنا بن مهدي عن سفيان عن الأعمش عن إبراهيم أنه كان يكره أن يصلي بصلاة الإمام إذا كان بينهما طريق أو نساء
hadith|6157|حدثنا بن مهدي عن إسرائيل عن عيسى بن أبي عزة عن الشعبي قال سألته عن المرأة تأتم بالإمام وبينهما طريق فقال ليس ذلك لها
chapter||488 ) من كان يرخص في ذلك
hadith|6158|حدثنا أبو بكر قال حدثنا هشيم عن حميد قال كان أنس يجمع مع الإمام وهو في دار نافع بن عبد الحارث بيت مشرف على المسجد له باب إلى المسجد فكان يجمع فيه ويأتم بالإمام
hadith|6159|حدثنا وكيع عن بن أبي ذئب عن صالح مولى التوأمة قال صليت مع أبي هريرة فوق المسجد بصلاة الإمام وهو أسفل
hadith|6160|حدثنا معتمر عن ليث عن أبي مجلز في المرأة تصلي وبينها وبين الإمام حائط قال إذا كانت تسمع التكبير أجزأها ذلك
hadith|6161|حدثنا أبو عامر العقدي عن سعيد بن مسلم قال رأيت سالم بن عبد الله صلى فوق ظهر المسجد صلاة المغرب ومعه رجل آخر يعني ويأتم بالإمام
hadith|6162|حدثنا جرير عن منصور قال كان إلى جنب مسجدنا سطح عن يمين المسجد اسفل من الإمام فكان قوم هاربين في إمارة الحجاج وبينهم وبين المسجد حائط طويل يصلون على ذلك السطح ويأتمون بالإمام فذكرته لإبراهيم فرآه حسنا
hadith|6163|حدثنا محمد بن أبي عدي عن بن عون قال سئل محمد عن الرجل يكون على ظهر بيت يصلي بصلاة الإمام في رمضان فقال لا أعلم به بأسا إلا أن يكون بين يدي الإمام
hadith|6164|حدثنا عبد الرحمن بن مهدي عن حماد بن سلمة عن هشام بن عروة أن عروة كان يصلي بصلاة الإمام وهو في دار حميد بن عبد الرحمن بن الحارث وبينهما وبين المسجد طريق
chapter||489 ) في المؤذن يصلي في المئذنة
hadith|6165|حدثنا أبو بكر قال حدثنا حفص بن غياث عن بن جريج عن عطاء قال سئل عن المؤذن يقيم في المئذنة ويصلي بصلاة الإمام قال يجزيه
hadith|6166|حدثنا وكيع عن أبي حنيفة عن حماد عن إبراهيم قال سألته عن صلاة المؤذنين فوق المسجد يوم الجمعة بصلاة الإمام وهو أسفل قال يجزيهم
hadith|6167|حدثنا هشيم عن مغيرة عن إبراهيم قال سألته عن المؤذن يصلي في صومعته ويأتم بالإمام فكره ذلك
chapter||490 ) المرأة في ثوب تصلي
hadith|6168|حدثنا أبو بكر قال حدثنا بن علية عن سليمان التيمي عن بن سيرين عن أبي هريرة قال قال عمر تصلي المرأة في ثلاثة أثواب
hadith|6169|حدثنا عيسى بن يونس عن الأوزاعي عن مكحول قال سألت عائشة في كم تصلي المرأة فقالت أئت عليا فاسأله ثم ارجع إلي فأتى عليا فساله فقال في درع سابغ ( 1 ) وخمار فرجع إليها فأخبرها فقالت صدق
hadith|6170|حدثنا عباد بن العوام عن محمد بن إسحاق عن بكير بن الأشج عن عبيد الله الخولاني قال رايت ميمونة زوج النبي صلى الله عليه وسلم تصلي في درع واحد فضلا وقد وضعت بعض كمها على راسها قال وكان عبيد الله يتيما في حجرها
hadith|6171|حدثنا وكيع قال حدثنا مالك بن أنس عن بكير بن عبد الله بن الأشج عن عبيد الله الخولاني عن ميمونة بنت الحارث زوج النبي صلى الله عليه وسلم أنها صلت في درع وخمار
hadith|6172|حدثنا حفص عن محمد بن زيد قال حدثتني أمي أنها سألت أم سلمة زوج النبي صلى الله عليه وسلم في أي شيء تصلي المرأة فقالت تصلي في درع سابغ يغطي قدميها والخمار
hadith|6173|حدثنا وكيع قال أخبرنا هشام بن سعد عن محمد بن زيد بن مهاجر بن قنفذ عن أمه عن أم سلمة قالت تصلي المرأة في الدرع السابغ والخمار
hadith|6174|حدثنا وكيع قال حدثنا سفيان عن جابر عن أم ثور عن زوجها بشر أنه سأل بن عباس في كم تصلي المرأة فقال في درع وخمار
hadith|6175|حدثنا عبد الله بن نمير عن عبيد الله بن عمر عن نافع عن بن عمر قال إذا صلت المرأة فلتصل في ثيابها كلها الدرع والخمار والملحفة
hadith|6176|حدثنا أبو خالد عن أشعث عن محمد عن عبيدة قال تصلي المرأة في الدرع والخمار والحقو قال أشعث عن محمد مثله فقلت له ما هذه الخمر فقال الخمر ما خمر وكانت الأنصار تسمى الأزار الحقو
hadith|6177|حدثنا بن علية عن أيوب عن بن سيرين قال تصلي المرأة في ثلاثة أثواب
hadith|6178|حدثنا وكيع قال حدثنا أبو هلال عن بن سيرين قال كان يستحب أن تصلي المرأة في ثلاثة اثواب في الدرع والخمار والحقو
hadith|6179|حدثنا أبو الأحوص عن مغيرة عن إبراهيم أنه كان يرخص للمرأة أن تصلي في الدرع والجلباب
hadith|6180|حدثنا أبو أسامة عن هشام بن عروة قال قالت إمرأة لأبي إني امرأة حبلى وأنه يشق علي أن اصلي في المنطق أفأصلي في درع وخمار قال نعم
hadith|6181|حدثنا أبو بكر قال حدثنا أبو أسامة عن الجريري عن عكرمة قال تصلي المرأة في درع وخمار خصيف
hadith|6182|حدثنا يزيد بن هارون عن همام عن قتادة عن جابر بن زيد قال تصلي المرأة في درع صفيق وخمار صفيق
hadith|6183|حدثنا عيسى بن يونس عن الأوزاعي قال قال عطاء في درع وخمار
hadith|6184|حدثنا غندر عن شعبة قال سألت الحكم فقال في درع وخمار وسألت حمادا فقال تصلي في درع وملحفة تغطي رأسها
hadith|6185|حدثنا بن فضيل عن ليث عن مجاهد قال ألا لا تصلي المرأة في أقل من أربعة أثواب
hadith|6186|حدثنا بن فضيل عن عاصم عن معاذة عن عائشة أنها قامت تصلي في درع وخمار فأتتها الأمة فألقت عليها ثوبا
chapter||491 ) في المرأة إذا لم يكن لها إلا ثوب
hadith|6187|حدثنا أبو بكر قال حدثنا أزهر السمان عن بن عون عن محمد قال تتزر به
hadith|6188|حدثنا بن فضيل عن عمر بن ذر قال سألت مجاهدا وعطاء عن المرأة تحضرها الصلاة وليس لها إلا ثوب واحد قال تتزر به
hadith|6189|حدثنا وكيع قال حدثنا عمر بن ذر قال سألت عطاء عن المرأة لا يكون لها إلا ثوب واحد قال تتزر به قال وكيع يعني إذا كان صغيرا
chapter||492 ) في الصلاة في الثوب الواحد
hadith|6190|حدثنا أبو بكر قال حدثنا وكيع قال حدثنا عكرمة بن عمار عن عطاء عن جابر أنه أمهم في قميص واحد
hadith|6191|حدثنا وكيع قال حدثنا ابان بن صمعة ( ( ( جمعة ) ) ) عن عكرمة عن بن عباس قال لا باس بالصلاة في القميص الواحد إذا كان صفيقا ( 1 )
