collection||Sahih Muslim
hadith|33d|Rapporté par 'Itban b. Malik رضي الله عنه : Je suis venu voir le Messager d’Allah ﷺ, et le reste du hadith est le même que précédemment, sauf qu’un homme a dit : « Où est Malik b. Dukhshun ou Dukhaishin ? » Mahmud a ajouté : J’ai raconté ce hadith à beaucoup de gens, dont Abu Ayyub al-Ansari qui a dit : « Je ne pense pas que le Messager d’Allah ﷺ ait pu dire cela comme tu le rapportes. » Il a dit : J’ai juré que si j’allais voir 'Itban, je l’interrogerais à ce sujet. Je suis donc allé le voir, il était très âgé et avait perdu la vue, mais il était l’imam de son peuple. Je me suis assis à côté de lui et l’ai interrogé sur ce hadith, et il l’a rapporté exactement comme la première fois. Ensuite, beaucoup d’autres obligations et commandements ont été révélés, que nous voyons accomplis. Donc, celui qui veut ne pas être trompé ne le sera pas
hadith|33e|Rapporté par Mahmud b. Rabi' : Je me souviens bien du jet d’eau du Messager d’Allah ﷺ qu’il a fait avec un seau de notre maison. Mahmud a dit : 'Itban b. Malik m’a raconté qu’il avait dit : « Messager d’Allah, j’ai perdu la vue », et le reste du hadith est le même jusqu’à ces mots : « Il nous a dirigés dans deux unités de prière et nous avons retenu le Messager d’Allah ﷺ pour lui servir le plat que nous avions préparé », sans mentionner la suite ajoutée par Yunus et Ma’mar
chapter||
hadith|658|Rapporté par Anas b. Malik رضي الله عنه : Sa grand-mère, Mulaika, avait invité le Messager d’Allah ﷺ à un repas qu’elle avait préparé. Il en a mangé, puis a dit : « Levez-vous pour que je prie (afin de vous bénir). » Anas b. Malik a dit : Je me suis levé sur un tapis qui avait noirci à force d’usage. J’y ai versé un peu d’eau pour l’assouplir, et le Messager d’Allah ﷺ s’est tenu dessus. Moi et un orphelin nous sommes mis en rang derrière lui, et la vieille femme était derrière nous. Le Messager d’Allah ﷺ nous a dirigés dans deux unités de prière, puis il est reparti
hadith|659|Rapporté par Anas b. Malik رضي الله عنه : Le Messager d’Allah ﷺ avait le meilleur caractère. Parfois, l’heure de la prière arrivait alors qu’il était chez nous. Il demandait alors qu’on étende le tapis sous lui, on le secouait et on y versait un peu d’eau. Le Messager d’Allah ﷺ dirigeait alors la prière et nous nous mettions derrière lui. Ce tapis était fait de feuilles de palmier
hadith|660a|
hadith|660b|Rapporté par Abdullah b. al-Mukhtar, ayant entendu Moussa b. Anas rapporter d’Anas b. Malik رضي الله عنه : Le Messager d’Allah ﷺ m’a dirigé dans la prière, ainsi que ma mère ou ma tante. Il m’a fait me tenir à sa droite et a fait se tenir la femme derrière nous
hadith|660c|Rapporté par Shu’ba : Ce hadith a aussi été rapporté avec cette même chaîne de transmetteurs
hadith|513b|Rapporté par Maymouna, l’épouse du Messager d’Allah ﷺ رضي الله عنها : Le Messager d’Allah ﷺ a prié alors que j’étais à ses côtés, et parfois, quand il se prosternait, son vêtement me touchait. Il priait sur un petit tapis
hadith|661|Rapporté par Abu Sa’id al-Khudri رضي الله عنه : Il est allé voir le Messager d’Allah ﷺ et l’a trouvé en train de prier sur un tapis et de s’y prosterner
chapter||
hadith|649f|Rapporté par Abu Huraira رضي الله عنه : Le Messager d’Allah ﷺ a dit : « La prière d’un homme en groupe a plus de valeur de vingt degrés, et même plus, par rapport à sa prière chez lui ou sur le marché. Car s’il fait ses ablutions soigneusement, puis sort vers la mosquée uniquement pour la prière, sans autre intention, il ne fait pas un pas sans qu’un degré lui soit élevé et qu’un péché lui soit pardonné, jusqu’à ce qu’il entre dans la mosquée. Et lorsqu’il est occupé à la prière après être entré, les anges continuent d’invoquer des bénédictions pour lui tant qu’il reste à sa place de prière, en disant : “Ô Allah, fais-lui miséricorde et pardonne-lui ! Accepte son repentir.” Les anges continuent ainsi tant qu’il ne fait pas de mal ou tant que ses ablutions ne sont pas rompues. »
hadith|649g|Rapporté par A’mash : Un hadith au même sens a été transmis
hadith|649h|Rapporté par Abu Huraira رضي الله عنه : Le Messager d’Allah ﷺ a dit : « Les anges invoquent des bénédictions sur chacun d’entre vous tant qu’il reste dans un lieu de prière, en disant : “Ô Allah ! pardonne-lui, ô Allah, fais-lui miséricorde.” Et ils continuent tant que ses ablutions ne sont pas rompues, et tant que l’un d’entre vous est en prière ou attend la prière. »
hadith|649i|Rapporté par Abu Huraira رضي الله عنه : Le Messager d’Allah ﷺ a dit : « Le serviteur reste en prière tant qu’il est dans un lieu de prière en attendant la prière en groupe, et les anges invoquent pour lui en disant : “Ô Allah ! pardonne-lui. Ô Allah ! fais-lui miséricorde.” Ils continuent jusqu’à ce qu’il rentre chez lui après la prière ou que ses ablutions soient rompues. » J’ai demandé : « Comment les ablutions sont-elles rompues ? » Il a répondu : « Par le fait de laisser échapper du vent, que ce soit avec bruit ou sans bruit. »
hadith|649j|Rapporté par Abu Huraira رضي الله عنه : Le Messager d’Allah ﷺ a dit : « Chacun d’entre vous est considéré comme étant en prière tant que la prière le retient (pour ce noble objectif) et que rien ne l’empêche de retourner auprès de sa famille si ce n’est la prière. »
hadith|649k|Rapporté par Abu Huraira رضي الله عنه : Le Messager d’Allah ﷺ a dit : « Celui d’entre vous qui reste assis dans un lieu de prière en attendant la prière est en prière tant que ses ablutions ne sont pas rompues, et les anges invoquent pour lui en disant : “Ô Allah ! pardonne-lui. Ô Allah ! fais-lui miséricorde.” »
hadith|649l|Rapporté par Hammam b. Munabbih, d’après Abu Huraira رضي الله عنه : Un hadith semblable a été rapporté
chapter||
hadith|662|Rapporté par Abu Musa رضي الله عنه : Le Messager d’Allah ﷺ a dit : « La personne qui reçoit la plus grande récompense est celle qui habite le plus loin et qui doit parcourir la plus grande distance, et celui qui attend la prière pour la faire avec l’imam a une récompense plus grande que celui qui prie seul puis va dormir. » Dans la version d’Abu Kuraib, il est précisé : « (Il attend) jusqu’à ce qu’il prie avec l’imam en groupe. »
hadith|663a|
hadith|663b|Rapporté par Taimi : Ce hadith a été transmis avec la même chaîne de rapporteurs
hadith|663c|Rapporté par Ubayy b. Ka’b رضي الله عنه : Il y avait une personne parmi les Ansar dont la maison était à l’extrémité de Médine, mais il ne manquait jamais une prière avec le Messager d’Allah ﷺ. Nous avons eu pitié de lui et lui avons dit : « Ô untel, si tu achetais un âne, cela t’éviterait le sable brûlant et les bêtes de la terre. » Il a répondu : « Écoutez, par Allah, je n’aimerais pas que ma maison soit près de celle de Muhammad ﷺ. » J’ai été troublé par ses paroles et je suis allé en informer le Messager d’Allah ﷺ. Il l’a fait venir et il a répété exactement la même chose, en ajoutant qu’il espérait une récompense pour ses pas. Le Messager d’Allah ﷺ a dit : « En effet, tu auras la récompense que tu espères. »
hadith|663d|Rapporté par ‘Asim : Un hadith semblable a été rapporté avec la même chaîne de transmetteurs
hadith|664|Rapporté par Jabir b. ‘Abdullah رضي الله عنه : Nos maisons étaient loin de la mosquée ; nous avons donc pensé à vendre nos maisons pour nous rapprocher de la mosquée. Le Messager d’Allah ﷺ nous a interdit de le faire et a dit : « Pour chaque pas (vers la mosquée), une élévation de degré vous est accordée. »
hadith|665a|
hadith|665b|Rapporté par Jabir b. Abdullah رضي الله عنه : Les Banu Salama ont décidé de déménager près de la mosquée, car il y avait des terrains vacants. Cette nouvelle est parvenue au Messager d’Allah ﷺ, qui a dit : « Ô gens de la tribu de Salama, restez dans vos maisons, car vos pas sont comptés. » Ils ont dit : « Nous n’aurions pas été plus heureux en déménageant près de la mosquée qu’en entendant ces paroles du Messager d’Allah ﷺ. »
chapter||
hadith|666|Rapporté par Abu Huraira رضي الله عنه : Le Messager d’Allah ﷺ a dit : « Celui qui se purifie chez lui puis marche vers l’une des maisons d’Allah pour accomplir une prière obligatoire, chacun de ses pas efface un péché et l’autre élève son rang. »
hadith|667|Rapporté par Abu Huraira رضي الله عنه : Dans le hadith rapporté par Abd Huraira, le Messager d’Allah ﷺ a dit. Dans le hadith rapporté par Bakr, il est dit : Il a entendu le Messager d’Allah ﷺ dire : « Voyez-vous, resterait-il encore de la saleté sur l’un d’entre vous s’il y avait une rivière à sa porte où il se laverait cinq fois par jour ? » Ils ont répondu : « Il ne resterait aucune saleté sur lui. » Il a dit : « C’est ainsi que sont les cinq prières, par lesquelles Allah efface les péchés. »
hadith|668|Rapporté par Jabir b. ‘Abdullah رضي الله عنه : Le Messager d’Allah ﷺ a dit : « L’exemple des cinq prières est comme une rivière abondante qui passe devant la porte de l’un d’entre vous, dans laquelle il se lave cinq fois par jour. » Hasan a dit : « Aucune saleté ne reste sur lui. »
hadith|669|Rapporté par Ata’ b. Yasar, d’après Abu Huraira رضي الله عنه : Le Messager d’Allah ﷺ a dit : « Celui qui va à la mosquée le matin ou le soir, Allah lui prépare un festin au Paradis matin et soir. »
chapter||
hadith|670a|
hadith|670b|Rapporté par Jabir b. Samura : Lorsque le Messager d’Allah ﷺ accomplissait la prière de l’aube, il restait assis à sa place de prière jusqu’à ce que le soleil se lève suffisamment
hadith|670c|Rapporté par Jabir b. Samura : Ce hadith a été rapporté par Simak avec la même chaîne de transmetteurs, mais sans mentionner « suffisamment »
hadith|671|Rapporté par Abu Huraira : Le Messager d’Allah ﷺ a dit : « Les endroits de la terre les plus aimés d’Allah sont les mosquées, et les endroits qu’Allah déteste le plus sont les marchés. »
chapter||
hadith|672a|
hadith|672b|Rapporté par Qatida : Un hadith similaire a été rapporté avec la même chaîne de transmetteurs
hadith|672c|Rapporté par Abu Sa’id al-Khudri : Ce hadith a été rapporté par une autre chaîne de transmetteurs
hadith|673a|
hadith|673b|Rapporté par A’mash : Un hadith similaire a été rapporté avec la même chaîne de transmetteurs
hadith|673c|Rapporté par Abu Mas’ud al-Ansari : Le Messager d’Allah ﷺ nous a dit : « Celui qui maîtrise le mieux le Livre d’Allah et se distingue par sa récitation doit diriger la prière. S’ils sont égaux dans la récitation, alors celui qui connaît le mieux la Sunna ; s’ils sont aussi égaux dans la Sunna, alors celui qui a émigré le plus tôt ; et s’ils ont émigré en même temps, alors le plus âgé. Personne ne doit diriger la prière devant un autre dans sa maison ou là où il a autorité, ni s’asseoir à sa place d’honneur dans sa maison, sauf s’il vous en donne la permission ou avec sa permission. »
hadith|674a|
hadith|674b|Rapporté par Ayyub : Ce hadith a été transmis avec la même chaîne de narrateurs
hadith|674c|Rapporté par Malik b. Huwairith Abu Sulaiman : Je suis venu voir le Messager d’Allah ﷺ avec d’autres personnes, et nous étions de jeunes hommes d’âge proche. Le reste du hadith est rapporté comme dans le hadith précédent
hadith|674d|Rapporté par Malik b. Huwairith : Je suis venu voir le Messager d’Allah ﷺ avec un compagnon, et quand nous avons voulu repartir, il a dit : « Quand c’est l’heure de la prière, faites l’appel, prononcez l’iqama, et que le plus âgé d’entre vous dirige la prière. »
hadith|674e|Rapporté par al-Hadra’ : Ce hadith a été rapporté avec la même chaîne de transmetteurs, mais al-Hadra’ a ajouté : « Ils étaient tous deux égaux dans la récitation. »
chapter||
hadith|675a|
hadith|675b|Rapporté par Abu Huraira : Ce hadith a été rapporté par une autre chaîne de transmetteurs jusqu’aux mots : « Et fais-leur subir une famine comme celle qui a eu lieu à l’époque de Joseph », mais la suite n’a pas été mentionnée
hadith|675c|Rapporté par Abu Salama d’après Abu Huraira : Le Messager d’Allah ﷺ récitait le Qunut après le ruku’ dans la prière pendant un mois, au moment où il disait : « Allah entend celui qui Le loue », et il disait dans le Qunut : « Ô Allah, sauve al-Walid b. al-Walid ; ô Allah, sauve Salama b. Hisham ; ô Allah, sauve ‘Ayyash b. Abu Rabi’a ; ô Allah, sauve les faibles parmi les musulmans ; ô Allah, accable sévèrement Mudar ; ô Allah, fais-leur subir une famine comme celle qui a eu lieu à l’époque de Joseph. » Abu Huraira a ajouté : J’ai vu que le Messager d’Allah ﷺ a ensuite arrêté cette invocation. J’ai donc dit : Je vois que le Messager d’Allah ﷺ a cessé d’invoquer la bénédiction pour eux. On lui a dit : « Ne vois-tu pas que ceux pour qui le Prophète a invoqué la bénédiction sont venus (c’est-à-dire qu’ils ont été sauvés) ? »
